osm;rva
Rue André Désilles;Rue André Desilles
Rue Paul Lerebourg Pigeonnière;Rue Paul Lerebours-Pigeonnière
Boulevard Beaumont;Boulevard de Beaumont
Allée Auguste Louis Jobbé Duval;Allée Auguste-Louis Jobbé Duval
Rue Jacques Ange Gabriel;Rue Jacques Gabriel
Rue du Chanoine Brune;Rue Chanoine Brune
Rue Victor Basch;Rue Victor et Ilona Basch
Rue Professeur Pierre Poumier;Rue du Professeur Pierre Poumier
Rue de la Motte Brûlon;Rue de la Motte-Brûlon
Rue Du Guesclin;Rue Duguesclin
Rue du Docteur Roux;Rue Docteur Roux
Avenue du Sergent Maginot;Avenue Sergent Maginot
Boulevard du Maréchal de Lattre de Tassigny;Boulevard Maréchal de Lattre de Tassigny
Rue de la Motte Fablet;Rue de la Motte-Fablet
Rue Salle-Verte;Rue de la Salle Verte
Avenue du Général George S. Patton;Avenue Général George S. Patton
Rue du Léon;Rue de Léon
Ruelle du Faux Pont;Ruelle du Faux pont
Rue Fernand Kerfome;Rue Fernand Kerforne
Rue Pâtis Tatelin;Rue du Pâtis Tatelin
Rue Beaugeard Lancelot;Rue Beaugeard-Lancelot
Boulevard René Laennec;Boulevard René Théophile Hyacinthe Laënnec
Rue du Colonel Driant;Rue Colonel Driant
Rue Richard Lenoir;Rue Richard-Lenoir
Rue du Commandant Anjot dit Bayard;Rue Commandant Anjot
Avenue du Général Leclerc;Avenue Général Leclerc
Avenue du Professeur Charles Foulon;Avenue Professeur Charles Foulon
Rue François Désiré Roulin;Rue François-Désiré Roulin
Rue Le Guen de Kerangal;Rue Le Guen de Kérangal
Boulevard de la Tour d'Auvergne;Boulevard de La Tour d'Auvergne
Rue de la Bletterie;Rue de La Bletterie
Avenue du Sergent Maginot ;Avenue Sergent Maginot
Rue Armand Barbes;Rue Armand Barbès
Rue Pierre Hevin;Rue Pierre Hévin
Rue François-Charles Oberthur;Rue François-Charles Oberthür
Square du Colonel Rémy;Square Colonel Rémy
Rue du Maréchal Joffre;Rue Maréchal Joffre
Square du Docteur Guérin;Square Docteur Guérin
Rue de la Borderie;Rue de La Borderie
Quai Duguay Trouin;Quai Duguay-Trouin
Rue Jean-Denis Lanjuinais;Rue Lanjuinais
Rue le Bastard;Rue Le Bastard
boulevard Jacques Cartier;Boulevard Jacques Cartier
Rue de la Chalotais;Rue de La Chalotais
Rue Châteaurenault;Rue Château-Renault
Rue du Docteur Bertheux;Rue Docteur Bertheux
Square Saint-Exupéry;Square de Saint-Exupéry
Rue du Docteur Regnault;Rue Docteur Regnault
Rue des Francs Bourgeois;Rue des Francs-Bourgeois
Rue d'Échange;Rue d'Echange
Rue du Capitaine Alfred Dreyfus;Rue Capitaine Alfred Dreyfus
Rue Denis et Eugène Buhler;Rue Denis et Eugène Bühler
Rue le Bouteiller;Rue Le Bouteiller
Rue Jean Guehenno;Rue Jean Guéhenno
Rue Zénaïde Fleuriot;Rue Zenaïde Fleuriot
Allée du Mont-Dol;Allée du Mont Dol
Square de Grande Charbonnière;Square la Grande Charbonnière
Rue Bruté de Remur;Rue Bruté de Rémur
Rue Édouard Jordan;Rue Edouard Jordan
Square Édouard Herriot;Square Edouard Herriot
Rue Émile Drouillas;Rue Emile Drouillas
Quai Émile Zola;Quai Emile Zola
Rue Étienne Pinault;Rue Etienne Pinault
Boulevard Émile Combes;Boulevard Emile Combes
Rue Étienne Dolet;Rue Etienne Dolet
Square René Le Bourdelles;Square René Le Bourdellès
Rue de Kerviler;Rue Kerviler
Rue Nominoë;Rue Nominöe
Avenue des Français Libres;Avenue des Français libres
Rue Aurélie Nemours;Rue Aurelie Nemours
Rue Mauconseil;Rue de Mauconseil
Rue André Bonin;1
Campus de Beaulieu;3
Allée Descartes;3
Route de Fougères;9

